OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
1,03/29/2020 10:00:00 AM,4,21,165,203,241,243,191,117,54,
2,03/30/2020 10:00:00 AM,5,27,188,247,262,274,219,139,53,
3,03/31/2020 10:00:00 AM,6,32,215,290,304,335,260,157,61,
4,04/01/2020 10:00:00 AM,6,39,252,345,372,396,309,187,79,
5,04/02/2020 10:00:00 AM,9,46,286,410,437,471,357,217,98,
6,04/03/2020 10:00:00 AM,9,55,335,485,509,552,423,266,124,
7,04/04/2020 10:00:00 AM,13,65,379,557,575,625,473,299,139,
8,04/05/2020 10:00:00 AM,16,69,422,638,666,736,546,354,162,
9,04/06/2020 10:00:00 AM,16,76,469,718,737,825,597,407,200,
10,04/07/2020 10:00:00 AM,21,82,505,773,795,891,643,445,216,
11,04/08/2020 10:00:00 AM,27,109,625,968,1015,1135,833,550,267,
12,04/09/2020 10:00:00 AM,33,127,701,1076,1145,1282,913,600,308,
13,04/10/2020 10:00:00 AM,36,146,772,1205,1281,1421,1051,685,371,
14,04/11/2020 10:00:00 AM,45,162,855,1317,1413,1565,1141,757,439,
15,04/12/2020 10:00:00 AM,52,172,906,1390,1504,1675,1212,816,498,
16,04/13/2020 10:00:00 AM,63,190,970,1511,1637,1801,1317,877,570,
17,04/14/2020 10:00:00 AM,70,199,1030,1603,1740,1902,1389,935,604,0
18,04/15/2020 10:00:00 AM,74,204,1089,1670,1808,2005,1474,1010,698,0
19,04/16/2020 10:00:00 AM,86,231,1162,1784,1951,2138,1602,1065,765,0
20,04/17/2020 10:00:00 AM,86,242,1227,1882,2088,2287,1710,1171,879,0
21,04/18/2020 10:00:00 AM,89,254,1311,2010,2215,2399,1831,1253,946,0
22,04/19/2020 10:00:00 AM,93,277,1391,2100,2312,2492,1898,1286,981,0
23,04/20/2020 10:00:00 AM,108,300,1488,2245,2442,2632,2015,1385,1069,0
24,04/21/2020 10:00:00 AM,118,318,1543,2329,2539,2712,2083,1432,1119,0
25,04/22/2020 10:00:00 AM,132,337,1595,2415,2611,2805,2156,1512,1212,0
26,04/23/2020 10:00:00 AM,152,369,1708,2604,2786,2960,2269,1593,1296,0
27,04/24/2020 10:00:00 AM,164,395,1833,2757,2931,3094,2383,1680,1379,0
28,04/25/2020 10:00:00 AM,189,441,1982,2963,3155,3288,2548,1766,1434,0
29,04/26/2020 10:00:00 AM,212,463,2097,3109,3270,3414,2651,1837,1528,0
30,04/27/2020 10:00:00 AM,228,490,2217,3264,3436,3556,2758,1916,1622,0
31,04/28/2020 10:00:00 AM,246,512,2293,3367,3555,3675,2835,1973,1657,0
32,04/29/2020 10:00:00 AM,256,539,2393,3511,3696,3792,2927,2035,1700,0
33,04/30/2020 10:00:00 AM,294,573,2525,3684,3871,3939,3010,2083,1763,0
34,05/01/2020 10:00:00 AM,330,652,2742,4025,4226,4242,3215,2181,1859,0
